cycle,use_jester,stability,adaptive_score,rigidity,dissent,queen_pressure,jester_active,jester_pressure,jester_fatigue,jester_cooldown
160,True,0.934463,0.836846,0.429718,0.181988,0.092768,False,0.0,0.125,0
161,True,0.945728,0.836281,0.43085,0.180909,0.092868,False,0.0,0.1,0
162,True,0.934412,0.836848,0.422279,0.188,0.092968,True,0.354547,0.175,0
163,True,0.931818,0.836942,0.423707,0.18668,0.093068,False,0.0,0.15,0
164,True,0.937465,0.83672,0.425079,0.185412,0.093168,False,0.0,0.125,0
165,True,0.932234,0.836928,0.418605,0.192131,0.093268,True,0.335916,0.2,0
166,True,0.941386,0.836529,0.420181,0.190645,0.093368,False,0.0,0.175,0
167,True,0.939426,0.836628,0.41454,0.197568,0.093468,True,0.346127,0.25,0
168,True,0.934696,0.836837,0.40813,0.204404,0.093568,True,0.341823,0.325,0
169,True,0.943344,0.836422,0.410125,0.202428,0.093668,False,0.0,0.3,0
170,True,0.942584,0.836464,0.404757,0.209469,0.093768,True,0.352026,0.375,0
171,True,0.925666,0.837111,0.394563,0.216481,0.093868,True,0.350602,0.45,0
172,True,0.931596,0.83695,0.3971,0.214022,0.093968,False,0.0,0.425,0
173,True,0.935086,0.836822,0.399536,0.211661,0.094068,False,0.0,0.4,0
174,True,0.925357,0.837118,0.391744,0.218337,0.094168,True,0.333807,0.475,0
175,True,0.928389,0.837046,0.394394,0.215803,0.094268,False,0.0,0.45,0
176,True,0.921966,0.837176,0.396939,0.213371,0.094368,False,0.0,0.425,0
177,True,0.928719,0.837037,0.399381,0.211036,0.094468,False,0.0,0.4,0
178,True,0.937723,0.836709,0.401726,0.208795,0.094568,False,0.0,0.375,0
179,True,0.937168,0.836734,0.396564,0.215638,0.094668,True,0.342136,0.45,0
180,True,0.932826,0.836907,0.39028,0.222462,0.094768,True,0.341203,0.525,0
181,True,0.931069,0.836967,0.392989,0.219763,0.094868,False,0.0,0.5,0
182,True,0.938691,0.836664,0.395589,0.217173,0.094968,False,0.0,0.475,0
183,True,0.927885,0.837059,0.387295,0.224094,0.095068,True,0.346059,0.55,0
184,True,0.924783,0.837129,0.390123,0.22133,0.095168,False,0.0,0.525,0
185,True,0.92284,0.837164,0.392838,0.218677,0.095267,False,0.0,0.5,0
186,True,0.925148,0.837122,0.395444,0.21613,0.095367,False,0.0,0.475,0
187,True,0.92669,0.837088,0.397947,0.213685,0.095467,False,0.0,0.45,0
188,True,0.928264,0.837049,0.400349,0.211337,0.095567,False,0.0,0.425,0
189,True,0.932166,0.83693,0.402655,0.209084,0.095667,False,0.0,0.4,0
190,True,0.932051,0.836934,0.404869,0.20692,0.095767,False,0.0,0.375,0
191,True,0.932588,0.836916,0.406994,0.204844,0.095867,False,0.0,0.35,0
