cycle,self_state,stability,adaptive_score,rigidity,truth_load,bridge_load,shadow_load,noise,contradiction,pressure,drift
125,0.051043,0.919111,0.837208,0.809792,0.024588,0.0133,0.035997,0.24,0.0,1.0,0.0
126,0.04849,0.923617,0.837151,0.803604,0.025454,0.013149,0.036102,0.2418,0.0,1.0,0.0
127,0.067045,0.904105,0.837106,0.788852,0.027056,0.005877,0.036666,0.2436,0.0,1.0,0.0
128,0.046743,0.909455,0.837194,0.778939,0.028358,0.062088,0.034466,0.2454,0.0,1.0,0.0
129,0.031476,0.917201,0.83722,0.772058,0.028887,0.008263,0.031044,0.2472,0.0,1.0,0.0
130,0.0239,0.920959,0.837189,0.785942,0.028441,0.02547,0.027613,0.249,0.0,1.0,0.0
131,0.002463,0.919989,0.8372,0.788345,0.027515,0.05676,0.025481,0.2508,0.0,1.0,0.0
132,0.002883,0.941915,0.836501,0.793636,0.025933,0.015758,0.023304,0.2526,0.0,1.0,0.0
133,0.013356,0.917665,0.837218,0.735807,0.023809,0.122765,0.02018,0.2544,0.0,1.0,0.0
134,0.007003,0.932153,0.836931,0.807088,0.021456,0.038181,0.018444,0.2562,0.0,1.0,0.0
135,-0.023423,0.901724,0.837049,0.748406,0.019404,0.130448,0.014259,0.258,0.0,1.0,0.0
136,-0.034227,0.899853,0.836996,0.767235,0.016791,0.223583,0.008498,0.2598,0.0,1.0,0.0
137,-0.018214,0.908868,0.837187,0.79709,0.013895,0.15175,0.00568,0.2616,0.0,1.0,0.0
138,0.006143,0.912672,0.83722,0.734775,0.012979,0.034691,0.005274,0.2634,0.0,1.0,0.0
139,0.013192,0.934735,0.836836,0.782041,0.012511,0.064996,0.005649,0.2652,0.0,1.0,0.0
140,0.029247,0.918136,0.837215,0.746085,0.012663,0.071363,0.005762,0.267,0.0,1.0,0.0
141,0.012625,0.930824,0.836975,0.775594,0.012492,0.039601,0.006051,0.2688,0.0,1.0,0.0
142,0.010781,0.931986,0.836936,0.803837,0.012096,0.05563,0.004808,0.2706,0.0,1.0,0.0
143,0.024908,0.908104,0.837177,0.787144,0.010724,0.182389,0.006398,0.2724,0.0,1.0,0.0
144,0.006075,0.918687,0.837211,0.777557,0.009255,0.02743,0.005562,0.2742,0.0,1.0,0.0
145,0.003128,0.929714,0.837009,0.706926,0.008244,0.145084,0.005737,0.276,0.0,1.0,0.0
146,-0.001948,0.91601,0.837224,0.755703,0.008315,0.231602,0.003418,0.2778,0.0,1.0,0.0
147,0.01593,0.875521,0.835666,0.736927,0.009001,0.375644,0.00707,0.2796,0.0,1.0,0.0
148,0.023204,0.915748,0.837224,0.799037,0.010017,0.097675,0.00747,0.2814,0.0,1.0,0.0
149,0.039065,0.898718,0.83696,0.790449,0.009882,0.206118,0.010839,0.2832,0.0,1.0,0.0
150,0.02433,0.923975,0.837144,0.779084,0.008931,0.028357,0.013306,0.285,0.0,1.0,0.0
151,-0.0053,0.896495,0.836883,0.764032,0.0084,0.241036,0.011821,0.2868,0.0,1.0,0.0
152,-0.011249,0.912189,0.837217,0.665471,0.008819,0.311109,0.012864,0.2886,0.0,1.0,0.0
153,-0.024266,0.895096,0.836829,0.778611,0.010227,0.259425,0.009326,0.2904,0.0,1.0,0.0
154,-0.033772,0.889432,0.836571,0.679431,0.008326,0.362587,0.010308,0.2922,0.0,1.0,0.0
155,-0.034208,0.903579,0.837095,0.761999,0.005355,0.260266,0.007684,0.294,0.0,1.0,0.0
156,-0.035797,0.92704,0.83708,0.748034,0.001965,0.102344,0.006476,0.2958,0.0,1.0,0.0
157,-0.030502,0.92215,0.837174,0.821472,0.001381,0.023391,0.006266,0.2976,0.0,1.0,0.0
158,0.002289,0.895091,0.836829,0.742546,0.005078,0.126165,0.008919,0.2994,0.0,1.0,0.0
159,-0.01877,0.885763,0.83637,0.78972,0.008193,0.248169,0.005676,0.3012,0.0,1.0,0.0
160,-0.01481,0.914987,0.837225,0.778964,0.009931,0.239865,6e-05,0.303,0.0,1.0,0.0
161,-0.02832,0.882303,0.836156,0.80114,0.011696,0.317123,0.010301,0.3048,0.0,1.0,0.0
162,-0.046659,0.876252,0.835724,0.741444,0.013174,0.333322,0.022384,0.3066,0.0,1.0,0.0
163,-0.049187,0.927743,0.837063,0.776913,0.01488,0.045813,0.030491,0.3084,0.0,1.0,0.0
164,-0.074952,0.886886,0.836435,0.772606,0.016948,0.236968,0.039748,0.3102,0.0,1.0,0.0
165,-0.047137,0.88941,0.83657,0.756799,0.017116,0.095824,0.046636,0.312,0.0,1.0,0.0
166,-0.032505,0.9206,0.837194,0.754039,0.016598,0.065701,0.050306,0.3138,0.0,1.0,0.0
167,-0.037236,0.895273,0.836836,0.761228,0.016781,0.274722,0.055687,0.3156,0.0,1.0,0.0
168,-0.060426,0.887223,0.836453,0.795633,0.018114,0.165099,0.06034,0.3174,0.0,1.0,0.0
169,-0.027612,0.894577,0.836808,0.7063,0.019653,0.088594,0.061985,0.3192,0.0,1.0,0.0
170,0.006671,0.899661,0.83699,0.76163,0.018897,0.014546,0.060114,0.321,0.0,1.0,0.0
171,0.049508,0.872017,0.835377,0.740384,0.017545,0.362787,0.053552,0.3228,0.0,1.0,0.0
172,0.027026,0.9075,0.837169,0.7728,0.016401,0.178868,0.049477,0.3246,0.0,1.0,0.0
173,0.012572,0.931369,0.836957,0.770052,0.015661,0.019974,0.045832,0.3264,0.0,1.0,0.0
174,0.016161,0.936265,0.836773,0.789356,0.014113,0.029591,0.042524,0.3282,0.0,1.0,0.0
175,-0.000307,0.889642,0.836582,0.792202,0.012343,0.27294,0.044255,0.33,0.0,1.0,0.0
176,-0.009993,0.923761,0.837148,0.739966,0.011037,0.115862,0.043417,0.3318,0.0,1.0,0.0
177,-0.030283,0.904926,0.837124,0.815415,0.010329,0.027409,0.04212,0.3336,0.0,1.0,0.0
