cycle,self_state,stability,adaptive_score,rigidity,truth_load,bridge_load,shadow_load,noise,contradiction,pressure,drift
151,-0.033459,0.902986,0.837081,0.780245,0.003287,0.05496,0.00938,0.171,0.453,1.906,0.3775
152,-0.022922,0.918058,0.837216,0.745773,0.004743,0.152292,0.006402,0.172,0.456,1.912,0.38
153,-0.034702,0.925127,0.837122,0.759816,0.006545,0.016084,0.00532,0.173,0.459,1.918,0.3825
154,-0.02472,0.902645,0.837072,0.763012,0.008072,0.253859,0.001202,0.174,0.462,1.924,0.385
155,-0.019123,0.929847,0.837005,0.785385,0.008327,0.022018,0.001236,0.175,0.465,1.93,0.3875
156,-0.003581,0.906813,0.837158,0.711166,0.007449,0.26468,0.000553,0.176,0.468,1.936,0.39
157,-0.008771,0.92901,0.837029,0.754101,0.006155,0.027001,0.001453,0.177,0.471,1.942,0.3925
158,0.001818,0.919261,0.837207,0.835172,0.003711,0.001893,0.002741,0.178,0.474,1.948,0.395
159,-0.000751,0.913781,0.837224,0.83869,0.001559,0.029761,0.00399,0.179,0.477,1.954,0.3975
160,0.003155,0.916537,0.837223,0.8253,0.000329,0.014368,0.005276,0.18,0.48,1.96,0.4
161,0.006267,0.899485,0.836984,0.837614,0.001662,0.128953,0.01041,0.181,0.483,1.966,0.4025
162,-0.011673,0.90195,0.837055,0.806785,0.001438,0.026552,0.014529,0.182,0.486,1.972,0.405
163,-0.007059,0.921566,0.837182,0.765938,0.000884,0.17395,0.013789,0.183,0.489,1.978,0.4075
164,-0.038351,0.89872,0.83696,0.737289,0.00149,0.103796,0.012187,0.184,0.492,1.984,0.41
165,-0.043465,0.931274,0.83696,0.76687,0.003684,0.000101,0.012398,0.185,0.495,1.99,0.4125
166,-0.02646,0.9204,0.837196,0.750114,0.005222,0.054878,0.01233,0.186,0.498,1.996,0.415
167,-0.010965,0.91193,0.837216,0.767494,0.004703,0.116296,0.014067,0.187,0.501,2.002,0.4175
168,-0.012468,0.931681,0.836947,0.812439,0.003044,0.038271,0.016268,0.188,0.504,2.008,0.42
169,-0.006727,0.923068,0.83716,0.82027,0.001671,0.001859,0.017998,0.189,0.507,2.014,0.4225
170,0.002537,0.909686,0.837197,0.839843,0.00023,0.051972,0.017032,0.19,0.51,2.02,0.425
171,0.018132,0.873048,0.835465,0.744526,0.001884,0.352766,0.010941,0.191,0.513,2.026,0.4275
172,0.010773,0.914507,0.837225,0.808641,0.002071,0.055444,0.008944,0.192,0.516,2.032,0.43
173,0.00763,0.907943,0.837175,0.771345,0.001795,0.241668,0.004683,0.193,0.519,2.038,0.4325
174,0.006703,0.916146,0.837224,0.750533,0.000892,0.292366,0.002466,0.194,0.522,2.044,0.435
175,-0.010525,0.915616,0.837225,0.776674,3.4e-05,0.037667,0.007027,0.195,0.525,2.05,0.4375
176,-0.011563,0.942396,0.836474,0.799725,0.001119,0.040995,0.011233,0.196,0.528,2.056,0.44
177,-0.022536,0.925452,0.837116,0.773718,0.001748,0.008712,0.012351,0.197,0.531,2.062,0.4425
178,-0.017426,0.932004,0.836936,0.811632,0.002436,0.02598,0.011811,0.198,0.534,2.068,0.445
179,3.2e-05,0.918931,0.83721,0.793834,0.001788,0.05363,0.01036,0.199,0.537,2.074,0.4475
180,0.018855,0.870886,0.835279,0.711023,0.001391,0.346321,0.005784,0.2,0.54,2.08,0.45
181,0.028133,0.910051,0.837201,0.80932,0.005091,0.002522,0.00418,0.201,0.543,2.086,0.4525
182,0.016777,0.900555,0.837016,0.837173,0.00847,0.032778,0.003563,0.202,0.546,2.092,0.455
183,-0.004027,0.899594,0.836988,0.816965,0.009825,0.004079,0.001658,0.203,0.549,2.098,0.4575
184,-0.005941,0.915178,0.837225,0.81552,0.011246,0.087626,0.002361,0.204,0.552,2.104,0.46
185,-0.001659,0.926838,0.837085,0.811424,0.012584,0.065844,0.005072,0.205,0.555,2.11,0.4625
186,-0.024015,0.901901,0.837053,0.718379,0.012048,0.124812,0.007458,0.206,0.558,2.116,0.465
187,-0.041577,0.911602,0.837213,0.787623,0.009941,0.021191,0.008373,0.207,0.561,2.122,0.4675
188,-0.034798,0.930509,0.836984,0.793154,0.007371,0.028838,0.008465,0.208,0.564,2.128,0.47
189,-0.03685,0.905948,0.837143,0.793971,0.005583,0.243116,0.004415,0.209,0.567,2.134,0.4725
190,-0.029746,0.925231,0.83712,0.72941,0.00448,0.04108,0.000294,0.21,0.57,2.14,0.475
191,-0.021514,0.916408,0.837223,0.8316,0.003387,0.011475,0.004006,0.211,0.573,2.146,0.4775
192,-0.02462,0.912242,0.837217,0.82506,0.0024,0.034152,0.006237,0.212,0.576,2.152,0.48
193,-0.007764,0.896419,0.83688,0.834904,0.002265,0.002448,0.00642,0.213,0.579,2.158,0.4825
194,-0.004976,0.913789,0.837224,0.832491,0.002046,0.037196,0.006145,0.214,0.582,2.164,0.485
195,-0.010219,0.916662,0.837222,0.84136,0.00034,0.013941,0.005901,0.215,0.585,2.17,0.4875
196,-0.015648,0.931113,0.836965,0.806609,0.002655,0.053052,0.004245,0.216,0.588,2.176,0.49
197,-0.014663,0.926814,0.837085,0.788639,0.005961,0.186565,0.000879,0.217,0.591,2.182,0.4925
198,-0.005509,0.91177,0.837215,0.788917,0.007544,0.162499,0.00206,0.218,0.594,2.188,0.495
199,0.003401,0.915676,0.837225,0.727358,0.008647,0.15817,0.002237,0.219,0.597,2.194,0.4975
200,0.004193,0.94633,0.836243,0.779886,0.010236,0.004973,0.00159,0.22,0.6,2.2,0.5
201,0.014777,0.902329,0.837064,0.711414,0.011043,0.284784,0.001347,0.221,0.603,2.206,0.5025
202,-0.00532,0.88946,0.836573,0.807352,0.010673,0.180343,0.00575,0.222,0.606,2.212,0.505
203,-0.00705,0.9078,0.837173,0.833976,0.009508,0.061207,0.005473,0.223,0.609,2.218,0.5075
204,-0.01548,0.888493,0.836522,0.851915,0.0082,0.084696,0.002211,0.224,0.612,2.224,0.51
205,-0.014268,0.907581,0.83717,0.861019,0.007825,0.013933,0.00035,0.225,0.615,2.23,0.5125
206,-0.013513,0.903146,0.837084,0.774426,0.007637,0.139892,0.001955,0.226,0.618,2.236,0.515
207,0.002852,0.904168,0.837108,0.727958,0.006641,0.14878,0.001186,0.227,0.621,2.242,0.5175
208,-0.001034,0.938546,0.836671,0.798541,0.005909,0.033239,0.004529,0.228,0.624,2.248,0.52
209,0.005912,0.933867,0.836869,0.79686,0.005838,0.002214,0.007319,0.229,0.627,2.254,0.5225
210,0.018241,0.920948,0.83719,0.786992,0.004899,0.030215,0.009283,0.23,0.63,2.26,0.525
211,0.032252,0.922046,0.837175,0.791291,0.003255,0.013077,0.010205,0.231,0.633,2.266,0.5275
212,0.023253,0.927178,0.837077,0.788676,0.00163,0.019169,0.010667,0.232,0.636,2.272,0.53
213,-0.008883,0.872942,0.835456,0.796731,0.000235,0.276648,0.006085,0.233,0.639,2.278,0.5325
214,-0.011055,0.906174,0.837147,0.812108,0.000109,0.107205,0.005112,0.234,0.642,2.284,0.535
215,-0.004382,0.901791,0.837051,0.863235,0.001331,0.027294,0.00318,0.235,0.645,2.29,0.5375
216,-0.014106,0.899113,0.836973,0.837225,0.002014,0.039439,0.001151,0.236,0.648,2.296,0.54
217,-0.014639,0.922989,0.837161,0.838104,0.00262,0.010971,0.003917,0.237,0.651,2.302,0.5425
218,-0.009775,0.900003,0.837,0.76472,0.002699,0.267268,0.000178,0.238,0.654,2.308,0.545
219,-0.002818,0.927118,0.837078,0.715837,0.002443,0.059477,0.004552,0.239,0.657,2.314,0.5475
220,0.011447,0.921662,0.837181,0.730482,0.002322,0.046538,0.008822,0.24,0.66,2.32,0.55
