cycle,self_state,stability,adaptive_score,rigidity,truth_load,bridge_load,shadow_load,noise,contradiction,pressure,drift
77,0.006475,0.943137,0.836433,0.808712,0.002817,0.004667,2.1e-05,0.02,0.0,1.0,0.0
78,0.005167,0.945111,0.836318,0.811133,0.002972,0.001529,4e-05,0.02,0.0,1.0,0.0
79,0.006976,0.94387,0.836392,0.808183,0.00318,0.005861,8.3e-05,0.02,0.0,1.0,0.0
80,0.008018,0.943491,0.836413,0.807035,0.003412,0.010857,3.2e-05,0.02,0.0,1.0,0.0
81,0.009141,0.942897,0.836447,0.812384,0.003616,0.004335,0.00018,0.02,0.0,1.0,0.0
82,0.008008,0.942996,0.836441,0.811426,0.003794,0.009091,0.000148,0.02,0.0,1.0,0.0
83,0.008235,0.944715,0.836342,0.809348,0.003993,0.007292,6.4e-05,0.02,0.0,1.0,0.0
84,0.005016,0.943003,0.836441,0.806417,0.004147,0.001033,0.000128,0.02,0.0,1.0,0.0
85,0.006563,0.942462,0.836471,0.808266,0.004321,0.006487,0.000205,0.02,0.0,1.0,0.0
86,0.005477,0.944618,0.836348,0.810454,0.004507,0.00107,0.000343,0.02,0.0,1.0,0.0
87,0.005517,0.944854,0.836334,0.812846,0.004678,0.001296,0.000439,0.02,0.0,1.0,0.0
88,0.003438,0.943812,0.836395,0.808699,0.004755,0.001835,0.000572,0.02,0.0,1.0,0.0
89,0.000991,0.943234,0.836428,0.80692,0.004634,0.008248,0.00063,0.02,0.0,1.0,0.0
90,0.002629,0.943765,0.836398,0.809048,0.004562,0.002528,0.000545,0.02,0.0,1.0,0.0
91,0.000522,0.943939,0.836388,0.810175,0.004401,0.003421,0.000487,0.02,0.0,1.0,0.0
92,-0.001255,0.944194,0.836373,0.808524,0.004217,0.002193,0.000633,0.02,0.0,1.0,0.0
93,-0.000232,0.94499,0.836326,0.807898,0.004073,0.008807,0.000787,0.02,0.0,1.0,0.0
94,0.000251,0.945932,0.836268,0.812715,0.003965,0.002933,0.000796,0.02,0.0,1.0,0.0
95,-0.000365,0.945582,0.83629,0.804156,0.003772,0.010881,0.000734,0.02,0.0,1.0,0.0
96,-0.000212,0.946434,0.836237,0.810923,0.00349,0.003044,0.00067,0.02,0.0,1.0,0.0
97,-0.000999,0.945183,0.836314,0.808459,0.00315,0.006059,0.000597,0.02,0.0,1.0,0.0
98,0.000592,0.943542,0.83641,0.80436,0.002841,0.013887,0.000613,0.02,0.0,1.0,0.0
99,-0.000286,0.945155,0.836316,0.810994,0.002488,0.003864,0.000608,0.02,0.0,1.0,0.0
100,-0.000894,0.944866,0.836333,0.808174,0.002164,0.01331,0.000406,0.02,0.0,1.0,0.0
101,-0.000766,0.945937,0.836268,0.812407,0.001782,0.000737,0.000175,0.02,0.0,1.0,0.0
102,0.000509,0.945084,0.83632,0.807043,0.001427,0.009235,6.7e-05,0.02,0.0,1.0,0.0
103,0.000705,0.946494,0.836233,0.81081,0.001083,0.002481,3.3e-05,0.02,0.0,1.0,0.0
104,-0.000501,0.944854,0.836334,0.808519,0.000768,0.006406,0.000116,0.02,0.0,1.0,0.0
105,0.002093,0.94331,0.836424,0.804057,0.000601,0.007189,0.000253,0.02,0.0,1.0,0.0
106,0.000876,0.945339,0.836305,0.807088,0.000437,0.003992,0.00028,0.02,0.0,1.0,0.0
