cycle,event,bodies,active_bodies,light,shadow,mercury,agreements,spread,structural_stability,vitality,viability,field_charge,lattice_coherence,recursion_depth,confidence_decay,avg_trust,avg_fatigue,lineage_density,archetype_resonance,elder_feedback,closures,recursions,suspicious_closures,dream_cycles,rem_cycles,healing_cycles,renewal_cycles,new_variants,unknown_events,alpha_alerts,omega_alerts,alpha_alert,omega_alert
51,drift,40,18,0.603655,0.492805,0.502876,3,0.11085,1,0.834085,1,0.44057,0.997773,0,0.245479,0.865465,0,1,1,0.6725,51,0,0,51,51,51,0,0,1,0,0,False,False
52,drift,40,18,0.607424,0.496071,0.521486,3,0.111353,1,0.834919,1,0.440217,0.997814,0,0.247841,0.86629,0,1,1,0.6725,52,0,0,52,52,52,0,0,1,0,0,False,False
53,drift,40,18,0.587592,0.464112,0.521211,2,0.123481,1,0.835733,1,0.440044,0.997856,0,0.242014,0.867115,0,1,1,0.6725,53,0,0,53,53,53,0,0,1,0,0,False,False
54,unknown,40,40,0.588097,0.468447,0.556059,2,0.11965,1,0.836688,1,0.439843,0.998115,0,0.236652,0.872307,0,1,1,0.6725,54,0,0,54,54,54,0,0,2,0,0,False,False
55,drift,40,18,0.592188,0.5058,0.652256,2,0.146456,1,0.837456,1,0.439998,0.998157,0,0.23172,0.873132,0,1,1,0.6725,55,0,0,55,55,55,0,0,2,0,0,False,False
56,drift,40,18,0.622048,0.514876,0.556779,3,0.107172,1,0.838205,1,0.439667,0.998198,0,0.235183,0.873957,0,1,1,0.6725,56,0,0,56,56,56,0,0,2,0,0,False,False
57,drift,40,18,0.601256,0.494875,0.598676,3,0.10638,1,0.838936,1,0.439353,0.998239,0,0.238368,0.874782,0,1,1,0.6725,57,0,0,57,57,57,0,0,2,0,0,False,False
58,drift,40,18,0.598418,0.491226,0.518426,3,0.107193,1,0.839649,1,0.439077,0.99828,0,0.241299,0.875607,0,1,1,0.6725,58,0,0,58,58,58,0,0,2,0,0,False,False
59,drift,40,18,0.584958,0.512165,0.44644,2,0.138518,1,0.840345,1,0.439217,0.998322,0,0.235995,0.876432,0,1,1,0.6725,59,0,0,59,59,59,0,0,2,0,0,False,False
60,drift,40,18,0.610715,0.50485,0.596848,3,0.105865,1,0.841023,1,0.438954,0.998363,0,0.239115,0.877257,0,1,1,0.6725,60,0,0,60,60,60,0,0,2,0,0,False,False
61,drift,40,18,0.60664,0.491076,0.492474,2,0.115564,1,0.841686,1,0.438837,0.998404,0,0.233986,0.878082,0,1,1,0.6725,61,0,0,61,61,61,0,0,2,0,0,False,False
62,drift,40,18,0.595028,0.50682,0.52311,3,0.088208,1,0.842332,1,0.438395,0.998445,0,0.237267,0.878907,0,1,1,0.6725,62,0,0,62,62,62,0,0,2,0,0,False,False
63,drift,40,18,0.57236,0.49206,0.451348,2,0.121013,1,0.842963,1,0.438396,0.998487,0,0.232286,0.879732,0,1,1,0.6725,63,0,0,63,63,63,0,0,2,0,0,False,False
64,drift,40,18,0.593345,0.48093,0.526844,3,0.112416,1,0.843579,1,0.438301,0.998528,0,0.235703,0.880557,0,1,1,0.6725,64,0,0,64,64,64,0,0,2,0,0,False,False
65,drift,40,18,0.589452,0.473742,0.520935,2,0.11571,1,0.844181,1,0.438264,0.998569,0,0.230847,0.881382,0,1,1,0.6725,65,0,0,65,65,65,0,0,2,0,0,False,False
66,drift,40,18,0.604635,0.481389,0.522158,2,0.123246,1,0.844768,1,0.438334,0.99861,0,0.226379,0.882207,0,1,1,0.6725,66,0,0,66,66,66,0,0,2,0,0,False,False
67,drift,40,18,0.599189,0.501472,0.530261,3,0.097716,1,0.845342,1,0.438093,0.998652,0,0.230269,0.883032,0,1,1,0.6725,67,0,0,67,67,67,0,0,2,0,0,False,False
68,drift,40,18,0.590451,0.484517,0.573002,3,0.105934,1,0.845903,1,0.437979,0.998693,0,0.233847,0.883857,0,1,1,0.6725,68,0,0,68,68,68,0,0,2,0,0,False,False
69,drift,40,18,0.579493,0.508042,0.560324,3,0.07145,1,0.846451,1,0.43745,0.998734,0,0.237139,0.884682,0,1,1,0.6725,69,0,0,69,69,69,0,0,2,0,0,False,False
70,drift,40,18,0.589265,0.491483,0.575908,3,0.097782,1,0.846986,1,0.437288,0.998775,0,0.240168,0.885507,0,1,1,0.6725,70,0,0,70,70,70,0,0,2,0,0,False,False
71,drift,40,18,0.603301,0.505156,0.605406,3,0.10025,1,0.84751,1,0.437177,0.998817,0,0.242955,0.886332,0,1,1,0.6725,71,0,0,71,71,71,0,0,2,0,0,False,False
72,drift,40,18,0.593061,0.501778,0.597737,3,0.095959,1,0.848021,1,0.437029,0.998858,0,0.245518,0.887157,0,1,1,0.6725,72,0,0,72,72,72,0,0,2,0,0,False,False
73,drift,40,18,0.587242,0.486476,0.558711,3,0.100767,1,0.848522,1,0.43696,0.998899,0,0.247877,0.887982,0,1,1,0.6725,73,0,0,73,73,73,0,0,2,0,0,False,False
74,drift,40,18,0.608768,0.504429,0.547494,3,0.10434,1,0.849011,1,0.436951,0.99894,0,0.250047,0.888807,0,1,1,0.6725,74,0,0,74,74,74,0,0,2,0,0,False,False
75,drift,40,18,0.590246,0.501653,0.578902,3,0.088594,1,0.84949,1,0.436756,0.998982,0,0.252043,0.889632,0,1,1,0.6725,75,0,0,75,75,75,0,0,2,0,0,False,False
