cycle,use_mercury,cohesion,structural_stability,vitality,viability,rigidity,dissent,identity_drift,light_power,shadow_power,mercury_power,bridge_tension,mercury_motion,alliance_shift,emergence,jester_pulse,judge_closure
202,True,1,0.822676,0.675608,0.702585,0.359283,1,0.025617,0.49786,0.491362,0.464417,0.019219,0.025519,0.042085,0.943243,0.0,1
203,True,1,0.833857,0.690819,0.717841,0.359477,1,0.021021,0.50661,0.49582,0.45252,0.022251,0.028764,0.050988,0.942799,0.0,1
204,True,0.999235,0.824004,0.703441,0.71404,0.359639,1,0.023144,0.501481,0.499807,0.454692,0.02386,0.03117,0.058836,0.942457,0.0,1
205,True,1,0.81525,0.715463,0.710864,0.359769,1,0.025109,0.512691,0.508865,0.461671,0.025688,0.033681,0.065947,0.942159,0.0,1
206,True,1,0.819518,0.729831,0.719885,0.359856,1,0.022414,0.517921,0.502828,0.45107,0.029086,0.037269,0.07346,0.941928,0.0,1
207,True,1,0.813839,0.7611,0.726348,0.359873,1,0.02183,0.508628,0.516459,0.427007,0.034585,0.044026,0.091417,0.941862,0.2,1
208,True,1,0.811984,0.7853,0.733534,0.359832,1,0.020488,0.511027,0.52141,0.432164,0.039069,0.04963,0.104679,0.941915,0.2,1
209,True,1,0.806799,0.805568,0.736209,0.359747,1,0.020776,0.517038,0.512658,0.43228,0.042208,0.054241,0.115894,0.942069,0.2,1
210,True,1,0.808725,0.80014,0.735991,0.359672,1,0.020815,0.514101,0.509502,0.461789,0.040888,0.053649,0.111801,0.942203,0.2,1
211,True,1,0.807478,0.816184,0.740685,0.359562,1,0.020015,0.523581,0.530299,0.446148,0.043626,0.057449,0.120414,0.942408,0.0,1
212,True,1,0.812273,0.824083,0.747971,0.359429,1,0.017488,0.535192,0.514028,0.447123,0.046342,0.060255,0.123093,0.942669,0.0,1
213,True,1,0.807029,0.843977,0.750368,0.359257,1,0.017622,0.535573,0.52653,0.437909,0.04972,0.064859,0.133923,0.943033,0.0,1
214,True,1,0.815961,0.845824,0.759351,0.359084,1,0.015082,0.521918,0.526412,0.453954,0.049465,0.065608,0.134324,0.943398,0.0,1
215,True,1,0.817803,0.866476,0.768665,0.358866,1,0.012507,0.537864,0.518099,0.424833,0.054125,0.070864,0.144766,0.943876,0.0,1
216,True,1,0.831566,0.869203,0.782621,0.358649,1,0.008606,0.530173,0.522173,0.447966,0.054248,0.071892,0.145495,0.944378,0.0,1
217,True,0.998927,0.82693,0.863412,0.776103,0.358446,1,0.010036,0.524426,0.511901,0.450467,0.053358,0.071305,0.14097,0.944882,0.0,1
218,True,0.998797,0.82493,0.876637,0.779135,0.358227,1,0.010121,0.527732,0.528101,0.437725,0.054599,0.073949,0.148779,0.94541,0.0,1
219,True,1,0.810602,0.886907,0.769349,0.357994,1,0.013983,0.531248,0.53421,0.442631,0.05576,0.07621,0.15447,0.945963,0.0,1
220,True,1,0.808969,0.90724,0.775201,0.357725,1,0.012921,0.537789,0.526796,0.422187,0.059596,0.080955,0.16542,0.946562,0.0,1
221,True,1,0.80974,0.912947,0.77802,0.357444,1,0.012178,0.535034,0.537305,0.438188,0.060763,0.083339,0.171074,0.947196,0.0,1
222,True,0.998785,0.817745,0.916456,0.787002,0.357157,1,0.009199,0.540593,0.530127,0.438473,0.06208,0.085236,0.173521,0.947851,0.0,1
223,True,1,0.823473,0.919659,0.793701,0.356865,1,0.007089,0.549895,0.536559,0.445719,0.063406,0.086954,0.175152,0.948542,0.0,1
224,True,1,0.829517,0.914392,0.797561,0.35661,1,0.006185,0.540861,0.527052,0.463728,0.061249,0.084612,0.165452,0.949178,0.0,1
225,True,1,0.827283,0.910556,0.793985,0.356374,1,0.007385,0.550812,0.54536,0.468826,0.060063,0.083863,0.162975,0.949785,0.0,1
226,True,1,0.832956,0.906657,0.797968,0.356154,1,0.005863,0.539796,0.528395,0.454079,0.059538,0.083324,0.160107,0.95035,0.0,1
227,True,1,0.833994,0.898654,0.795959,0.35596,1,0.006417,0.546132,0.53784,0.470103,0.057944,0.081723,0.15518,0.950875,0.0,1
228,True,1,0.823798,0.904197,0.788283,0.355764,1,0.009269,0.545615,0.539317,0.4534,0.05858,0.082751,0.158511,0.951398,0.0,1
229,True,0.99847,0.815049,0.90147,0.778911,0.355583,1,0.011837,0.54749,0.540823,0.465707,0.05785,0.082149,0.156855,0.951868,0.0,1
230,True,0.995954,0.813741,0.912251,0.781608,0.355386,1,0.011213,0.553482,0.541284,0.448013,0.060093,0.084559,0.162792,0.952349,0.2,1
231,True,0.98733,0.825183,0.897363,0.78707,0.355224,1,0.008271,0.546604,0.528969,0.471732,0.058261,0.081969,0.153129,0.952767,0.2,1
