cycle,use_mercury,cohesion,structural_stability,vitality,viability,rigidity,dissent,identity_drift,light_power,shadow_power,mercury_power,bridge_tension,mercury_motion,alliance_shift,emergence,jester_pulse,judge_closure
53,False,1,0.845369,0.42242,0.625648,0.320342,0.265589,0.00907,0.504024,0.477627,0.0,0.047919,0.0,0.0,0.970807,0.0,0
54,False,1,0.849801,0.420277,0.628109,0.319929,0.265397,0.008855,0.508725,0.474924,0.0,0.045942,0.0,0.0,0.971175,0.0,0
55,False,1,0.848061,0.419599,0.626564,0.319531,0.265204,0.009588,0.512108,0.470733,0.0,0.045303,0.0,0.0,0.971528,0.0,0
56,False,1,0.856026,0.415524,0.630879,0.31915,0.264979,0.00861,0.493345,0.474584,0.0,0.041587,0.0,0.0,0.971866,0.0,0
57,False,1,0.862544,0.411458,0.634104,0.318784,0.264724,0.00848,0.498876,0.483676,0.0,0.037893,0.0,0.0,0.972192,0.0,0
58,False,1,0.869238,0.409308,0.638185,0.318433,0.264457,0.007375,0.491944,0.467947,0.0,0.035947,0.0,0.0,0.972504,0.0,0
59,False,1,0.870211,0.407601,0.638231,0.318096,0.264181,0.007524,0.5073,0.482335,0.0,0.03441,0.0,0.0,0.972804,0.0,0
60,False,1,0.869752,0.403059,0.636116,0.317772,0.263872,0.009357,0.49667,0.491557,0.0,0.030308,0.0,0.0,0.973092,0.0,0
61,False,1,0.877215,0.399198,0.64005,0.317461,0.263536,0.008781,0.491573,0.486064,0.0,0.026836,0.0,0.0,0.973368,0.0,1
62,False,1,0.884646,0.39549,0.643996,0.317162,0.263177,0.007734,0.487063,0.48396,0.0,0.023514,0.0,0.0,0.973633,0.0,1
63,False,1,0.886913,0.392078,0.644285,0.316876,0.262797,0.008325,0.486219,0.484454,0.0,0.020469,0.0,0.0,0.973888,0.0,1
64,False,1,0.889771,0.389486,0.645323,0.316601,0.262405,0.008594,0.487241,0.483147,0.0,0.018176,0.0,0.0,0.974133,0.0,1
65,False,1,0.894324,0.388621,0.648277,0.316337,0.262015,0.007559,0.489011,0.502033,0.0,0.017455,0.0,0.0,0.974367,0.0,1
66,False,1,0.882903,0.390232,0.640638,0.316083,0.26165,0.010272,0.485583,0.513926,0.0,0.018979,0.0,0.0,0.974593,0.0,1
67,False,1,0.884484,0.389649,0.641554,0.31584,0.261289,0.010053,0.485224,0.500851,0.0,0.01851,0.0,0.0,0.974809,0.0,1
68,False,1,0.888376,0.387137,0.643372,0.315606,0.260915,0.009705,0.486023,0.488693,0.0,0.016292,0.0,0.0,0.975017,0.0,1
69,False,1,0.889581,0.384655,0.643252,0.315382,0.26053,0.010249,0.484846,0.485537,0.0,0.014108,0.0,0.0,0.975216,0.2,1
70,False,1,0.89334,0.383661,0.64557,0.315167,0.260146,0.00965,0.491699,0.499877,0.0,0.013278,0.0,0.0,0.975407,0.2,1
71,False,1,0.898878,0.38513,0.650166,0.31496,0.259786,0.007391,0.480306,0.503607,0.0,0.014681,0.0,0.0,0.975591,0.2,1
72,False,1,0.900219,0.385981,0.651481,0.314762,0.259442,0.00659,0.479658,0.500324,0.0,0.015519,0.0,0.0,0.975767,0.2,1
73,False,1,0.899928,0.386179,0.65135,0.314571,0.25911,0.006611,0.489487,0.50674,0.0,0.015762,0.0,0.0,0.975937,0.0,1
74,False,1,0.888512,0.386665,0.643282,0.314388,0.258791,0.009718,0.484681,0.504031,0.0,0.016264,0.0,0.0,0.976099,0.0,1
75,False,1,0.876705,0.390079,0.63608,0.314213,0.25851,0.011986,0.472604,0.511388,0.0,0.019417,0.0,0.0,0.976255,0.0,1
76,False,1,0.87091,0.39203,0.632641,0.314044,0.258255,0.012914,0.476272,0.508669,0.0,0.021234,0.0,0.0,0.976405,0.0,1
77,False,1,0.8729,0.394611,0.6351,0.313883,0.258029,0.01137,0.47908,0.517336,0.0,0.023617,0.0,0.0,0.976549,0.0,1
78,False,1,0.866589,0.400122,0.632658,0.313727,0.257857,0.011348,0.46639,0.525933,0.0,0.028647,0.0,0.0,0.976687,0.0,1
79,False,1,0.856906,0.403453,0.626873,0.313578,0.25772,0.012821,0.469918,0.520279,0.0,0.031687,0.0,0.0,0.976819,0.0,1
80,False,1,0.858062,0.40415,0.627988,0.313435,0.257592,0.01222,0.470299,0.506577,0.0,0.03233,0.0,0.0,0.976947,0.0,1
81,False,1,0.851682,0.404989,0.62364,0.313298,0.257475,0.013946,0.476363,0.51419,0.0,0.033099,0.0,0.0,0.977069,0.0,1
82,False,1,0.850787,0.409662,0.624773,0.313166,0.257402,0.012401,0.47,0.533407,0.0,0.037343,0.0,0.0,0.977186,0.0,1
83,False,1,0.853858,0.410416,0.627319,0.313039,0.257338,0.011312,0.478103,0.520295,0.0,0.038021,0.0,0.0,0.977299,0.0,1
84,False,1,0.849666,0.413842,0.625549,0.312918,0.257305,0.011056,0.473377,0.533532,0.0,0.04112,0.0,0.0,0.977407,0.0,1
85,False,1,0.857291,0.415365,0.63175,0.312801,0.257287,0.008401,0.482761,0.533635,0.0,0.042486,0.0,0.0,0.97751,0.0,1
86,False,1,0.848871,0.416311,0.625907,0.312689,0.257277,0.010421,0.480069,0.528556,0.0,0.043326,0.0,0.0,0.97761,0.0,1
87,False,1,0.847855,0.417081,0.625451,0.312581,0.257274,0.010545,0.483452,0.531621,0.0,0.044004,0.0,0.0,0.977706,0.0,1
88,False,1,0.849621,0.41654,0.626547,0.312478,0.257266,0.010268,0.490173,0.530523,0.0,0.043493,0.0,0.0,0.977797,0.0,1
89,False,1,0.852818,0.416078,0.628727,0.312379,0.257254,0.009487,0.489678,0.530049,0.0,0.043055,0.0,0.0,0.977885,0.0,1
90,False,1,0.847573,0.417716,0.625485,0.312284,0.257257,0.010387,0.484983,0.538531,0.0,0.044524,0.0,0.0,0.97797,0.0,1
91,False,1,0.845226,0.41809,0.623895,0.312192,0.257263,0.010879,0.477899,0.524699,0.0,0.044843,0.0,0.0,0.978051,0.0,1
92,False,1,0.84922,0.417644,0.626673,0.312105,0.257265,0.009814,0.482446,0.524259,0.0,0.044419,0.0,0.0,0.978129,0.2,1
93,False,1,0.840206,0.419526,0.620733,0.312021,0.257282,0.011805,0.484235,0.540707,0.0,0.046106,0.0,0.0,0.978204,0.2,1
94,False,1,0.844868,0.420191,0.62443,0.31194,0.257306,0.010115,0.494375,0.544625,0.0,0.046687,0.0,0.0,0.978276,0.2,1
95,False,1,0.84987,0.419762,0.627963,0.311862,0.257324,0.009015,0.502403,0.54615,0.0,0.046275,0.0,0.0,0.978345,0.2,1
96,False,1,0.859027,0.419128,0.634484,0.311788,0.257336,0.006466,0.499906,0.541921,0.0,0.045679,0.0,0.0,0.978411,0.0,1
97,False,1,0.861734,0.419311,0.636554,0.311716,0.25735,0.005775,0.500875,0.547605,0.0,0.045826,0.0,0.0,0.978475,0.0,1
98,False,1,0.862248,0.418886,0.636769,0.311647,0.257359,0.005608,0.511418,0.554361,0.0,0.045422,0.0,0.0,0.978536,0.0,1
99,False,1,0.855309,0.418932,0.631662,0.311582,0.257368,0.007796,0.50751,0.553113,0.0,0.045448,0.0,0.0,0.978594,0.0,1
100,False,1,0.850519,0.420841,0.628856,0.311518,0.257394,0.008531,0.498869,0.556562,0.0,0.047162,0.0,0.0,0.97865,0.0,1
101,False,1,0.86242,0.420037,0.637343,0.311458,0.257411,0.00506,0.508474,0.550283,0.0,0.046413,0.0,0.0,0.978704,0.0,1
102,False,1,0.865536,0.418018,0.638859,0.311399,0.257411,0.00517,0.509547,0.542763,0.0,0.044565,0.0,0.0,0.978756,0.0,1
