cycle,use_mercury,cohesion,structural_stability,vitality,viability,rigidity,dissent,identity_drift,light_power,shadow_power,mercury_power,bridge_tension,mercury_motion,alliance_shift,emergence,jester_pulse,judge_closure
73,False,1,0.86788,0.393306,0.630938,0.314571,0.259505,0.013668,0.465865,0.500244,0.0,0.022119,0.0,0.0,0.975937,0.0,1
74,False,1,0.876573,0.393791,0.637449,0.314388,0.259238,0.010919,0.478734,0.504321,0.0,0.022604,0.0,0.0,0.976099,0.0,1
75,False,1,0.872419,0.39411,0.634553,0.314213,0.258981,0.011806,0.473093,0.49807,0.0,0.022936,0.0,0.0,0.976255,0.0,1
76,False,1,0.873356,0.396443,0.636152,0.314044,0.258751,0.01073,0.474928,0.51327,0.0,0.025093,0.0,0.0,0.976405,0.0,1
77,False,1,0.864199,0.39947,0.630659,0.313883,0.258554,0.012158,0.469821,0.514764,0.0,0.027872,0.0,0.0,0.976549,0.0,1
78,False,1,0.862069,0.402365,0.630228,0.313727,0.258388,0.011817,0.475017,0.521817,0.0,0.030522,0.0,0.0,0.976687,0.0,1
79,False,1,0.861514,0.405241,0.630937,0.313578,0.258251,0.011009,0.475926,0.525204,0.0,0.033148,0.0,0.0,0.976819,0.0,1
80,False,1,0.867623,0.408045,0.636505,0.313435,0.258143,0.008092,0.462983,0.51436,0.0,0.0357,0.0,0.0,0.976947,0.0,1
81,False,1,0.871343,0.409225,0.639698,0.313298,0.258048,0.006594,0.477522,0.520894,0.0,0.036774,0.0,0.0,0.977069,0.0,1
82,False,1,0.869215,0.411119,0.638876,0.313166,0.257972,0.006274,0.477538,0.526575,0.0,0.038491,0.0,0.0,0.977186,0.0,1
83,False,1,0.874881,0.412443,0.643562,0.313039,0.25791,0.004303,0.470679,0.517716,0.0,0.039687,0.0,0.0,0.977299,0.0,1
84,False,1,0.870941,0.414285,0.641385,0.312918,0.257865,0.004558,0.480559,0.532122,0.0,0.04135,0.0,0.0,0.977407,0.0,1
85,False,1,0.869627,0.416467,0.641272,0.312801,0.257841,0.004174,0.468868,0.524267,0.0,0.043317,0.0,0.0,0.97751,0.0,1
86,False,1,0.875711,0.41664,0.645827,0.312689,0.257818,0.002417,0.47459,0.518913,0.0,0.043458,0.0,0.0,0.97761,0.0,1
