cycle,use_mercury,cohesion,structural_stability,vitality,viability,rigidity,dissent,identity_drift,light_power,shadow_power,mercury_power,bridge_tension,mercury_motion,alliance_shift,emergence,jester_pulse,judge_closure
224,True,0.998826,0.813331,0.911011,0.780761,0.356623,1,0.01177,0.542795,0.538505,0.448828,0.059134,0.083281,0.16378,0.95213,0.0,1
225,True,1,0.818971,0.918083,0.788781,0.35637,1,0.009616,0.535189,0.526841,0.432204,0.060848,0.085455,0.168879,0.952621,0.0,1
226,True,0.99848,0.831468,0.899635,0.793916,0.356167,1,0.006954,0.539676,0.525434,0.474086,0.057766,0.081677,0.155643,0.953036,0.0,1
227,True,0.998546,0.841015,0.901243,0.803639,0.355967,1,0.003837,0.541281,0.527835,0.448851,0.05846,0.082241,0.156108,0.953468,0.0,1
228,True,1,0.853134,0.8919,0.811633,0.355798,1,0.001451,0.537486,0.541196,0.47251,0.056179,0.080084,0.150877,0.953868,0.0,1
229,True,1,0.850131,0.877506,0.803269,0.355666,1,0.003482,0.552695,0.544296,0.490045,0.053585,0.077055,0.142402,0.954212,0.0,1
230,True,1,0.827224,0.868584,0.778304,0.355562,1,0.011104,0.541033,0.535674,0.476576,0.051675,0.074916,0.137561,0.954485,0.2,1
231,True,1,0.846662,0.876903,0.799762,0.355449,1,0.004715,0.551365,0.54679,0.464437,0.052805,0.076278,0.14299,0.954715,0.2,1
232,True,1,0.860912,0.874637,0.812345,0.355344,1,-0.000585,0.548304,0.562243,0.481047,0.053043,0.07599,0.141294,0.954982,0.2,1
233,True,1,0.85632,0.866544,0.804893,0.355256,1,0.001733,0.562677,0.541762,0.485004,0.052816,0.074762,0.135739,0.955248,0.2,1
234,True,1,0.859022,0.848835,0.800588,0.355213,1,-0.00273,0.551132,0.554383,0.507516,0.048933,0.070629,0.126037,0.955413,0.0,1
235,True,1,0.864242,0.836204,0.80054,0.355205,1,-0.002379,0.545429,0.54612,0.498424,0.045849,0.06737,0.119632,0.955499,0.0,1
236,True,0.999532,0.857679,0.833757,0.793516,0.355206,1,-0.004444,0.545967,0.552229,0.488177,0.045282,0.066467,0.118821,0.955567,0.0,1
237,True,1,0.873635,0.820796,0.803183,0.355237,1,-0.000844,0.545882,0.553077,0.504316,0.042983,0.063485,0.111684,0.955556,0.0,1
238,True,0.99992,0.859797,0.818819,0.789696,0.355273,1,0.004844,0.540712,0.549921,0.486682,0.042835,0.062806,0.110959,0.955561,0.0,1
