cycle,use_mercury,stability,adaptive_score,rigidity,dissent,identity_drift,light_power,shadow_power,mercury_power,bridge_tension,mercury_motion,alliance_shift,emergence,jester_pulse,judge_closure
163,True,1,0.83,0.43806,1,-0.020208,0.491319,0.481653,0.574747,0.040716,0.050117,0.095976,0.946344,0.2,1
164,True,1,0.83,0.437988,1,-0.020914,0.485332,0.475985,0.558818,0.043327,0.054043,0.106175,0.946377,0.2,1
165,True,1,0.83,0.437826,1,-0.025287,0.49806,0.469236,0.562551,0.046726,0.057523,0.110736,0.946453,0.0,1
166,True,1,0.83,0.437575,1,-0.024392,0.491567,0.478447,0.571074,0.04943,0.061519,0.120391,0.946611,0.0,1
167,True,1,0.83,0.437302,1,-0.020559,0.491325,0.460291,0.545536,0.050762,0.062669,0.117998,0.946809,0.0,1
168,True,1,0.83,0.437021,1,-0.018642,0.4873,0.471734,0.549283,0.050931,0.063662,0.119191,0.947032,0.0,1
169,True,1,0.83,0.436715,1,-0.020809,0.487303,0.472901,0.555586,0.051686,0.065317,0.122666,0.947268,0.0,1
170,True,1,0.83,0.436328,1,-0.020832,0.483816,0.474187,0.573009,0.054241,0.069334,0.13381,0.947575,0.0,1
171,True,1,0.83,0.435905,1,-0.012813,0.480796,0.465955,0.558548,0.055589,0.071551,0.138149,0.947964,0.0,1
172,True,1,0.83,0.435556,1,-0.011798,0.486994,0.481415,0.542517,0.052915,0.069698,0.132728,0.948308,0.0,1
173,True,0.998739,0.830213,0.435224,1,-0.012758,0.487299,0.477751,0.553035,0.052424,0.069812,0.132477,0.948637,0.0,1
174,True,1,0.83,0.434933,1,-0.012024,0.479311,0.462168,0.533083,0.051498,0.068766,0.12749,0.948938,0.0,1
175,True,1,0.83,0.434608,1,-0.020961,0.483774,0.459079,0.551542,0.053324,0.070355,0.129099,0.949207,0.0,1
176,True,1,0.83,0.434203,1,-0.017032,0.467501,0.464091,0.564715,0.0558,0.074354,0.142165,0.949569,0.0,1
177,True,1,0.83,0.43384,1,-0.018306,0.467079,0.462419,0.534113,0.05436,0.073655,0.140546,0.949898,0.0,1
178,True,1,0.83,0.433517,1,-0.015543,0.471634,0.472068,0.540919,0.052889,0.073013,0.139977,0.950218,0.0,1
179,True,1,0.83,0.433195,1,-0.018731,0.468265,0.46046,0.541454,0.053088,0.073584,0.141257,0.95052,0.0,1
180,True,0.997583,0.830405,0.433051,1,-0.018078,0.48247,0.476325,0.507941,0.047326,0.067278,0.123194,0.950689,0.0,1
181,True,1,0.83,0.433014,1,-0.023703,0.489509,0.47374,0.518872,0.044223,0.063074,0.110301,0.950734,0.0,1
182,True,1,0.83,0.433036,1,-0.02678,0.481263,0.474117,0.524671,0.04233,0.060821,0.105604,0.950714,0.0,1
183,True,1,0.83,0.43308,1,-0.02267,0.473012,0.473287,0.528536,0.041373,0.06006,0.106582,0.950704,0.0,1
184,True,1,0.83,0.433201,1,-0.01994,0.488321,0.479676,0.521074,0.038894,0.056842,0.098367,0.950646,0.2,1
185,True,1,0.83,0.433362,1,-0.023355,0.483139,0.485491,0.528636,0.037353,0.055089,0.095952,0.950535,0.2,1
186,True,1,0.83,0.43356,1,-0.022339,0.483027,0.472395,0.519314,0.036259,0.053201,0.091276,0.950397,0.2,1
187,True,1,0.83,0.433822,1,-0.024817,0.470874,0.498673,0.513742,0.034877,0.049809,0.079049,0.95018,0.2,1
188,True,1,0.83,0.434154,1,-0.020121,0.477438,0.479525,0.506356,0.032069,0.046738,0.073971,0.949938,0.0,1
189,True,1,0.83,0.434566,1,-0.022765,0.468559,0.470856,0.490332,0.02891,0.043082,0.066967,0.949615,0.0,1
190,True,1,0.83,0.435003,1,-0.026241,0.473338,0.479112,0.506849,0.027727,0.041338,0.064669,0.949248,0.0,1
191,True,1,0.83,0.435512,1,-0.027535,0.492087,0.485772,0.504254,0.024954,0.037696,0.056602,0.948813,0.0,1
192,True,1,0.83,0.436098,1,-0.025992,0.483956,0.485154,0.474517,0.021739,0.033824,0.049057,0.948325,0.0,1
193,True,1,0.83,0.436723,1,-0.025549,0.481823,0.498981,0.503831,0.020467,0.030969,0.041186,0.947799,0.0,1
194,True,1,0.83,0.437426,1,-0.025367,0.479366,0.484741,0.48198,0.017428,0.026643,0.032949,0.947207,0.0,1
195,True,1,0.83,0.438174,1,-0.029094,0.487706,0.484481,0.480613,0.015142,0.023681,0.027906,0.946554,0.0,1
196,True,1,0.83,0.438966,1,-0.031128,0.479587,0.484066,0.479674,0.012954,0.020667,0.022325,0.945851,0.0,1
197,True,1,0.83,0.439705,1,-0.031893,0.489722,0.489258,0.46356,0.013762,0.021404,0.028139,0.945183,0.0,1
198,True,1,0.83,0.440376,1,-0.026404,0.495511,0.493199,0.462655,0.015227,0.022845,0.034729,0.9446,0.0,1
199,True,1,0.83,0.440989,1,-0.02672,0.499495,0.49222,0.46553,0.016562,0.023893,0.038459,0.944056,0.0,1
200,True,1,0.83,0.441583,1,-0.025306,0.492434,0.485225,0.467138,0.016616,0.023584,0.038002,0.943534,0.0,1
201,True,1,0.83,0.442122,1,-0.024575,0.508181,0.488413,0.468903,0.018339,0.024398,0.038205,0.943051,0.0,1
202,True,1,0.83,0.442561,1,-0.024309,0.489373,0.512222,0.457253,0.021634,0.027078,0.043412,0.94264,0.0,1
203,True,1,0.83,0.442911,1,-0.02375,0.506305,0.510679,0.460092,0.023811,0.030063,0.053215,0.942306,0.0,1
204,True,1,0.83,0.443092,1,-0.020522,0.51264,0.507749,0.436046,0.028716,0.036235,0.071253,0.942127,0.0,1
205,True,1,0.83,0.443177,1,-0.019701,0.510581,0.509856,0.446725,0.03121,0.040051,0.082255,0.942035,0.0,1
206,True,1,0.83,0.443189,1,-0.018365,0.508089,0.505729,0.445528,0.033099,0.043038,0.089885,0.942014,0.0,1
207,True,1,0.83,0.443162,1,-0.016504,0.506721,0.508256,0.452168,0.033872,0.044757,0.093729,0.94204,0.2,1
208,True,1,0.83,0.443049,1,-0.020292,0.515491,0.514538,0.443737,0.036386,0.04847,0.103304,0.942116,0.2,1
209,True,0.996503,0.830582,0.442863,1,-0.018539,0.513372,0.508462,0.439509,0.0387,0.051681,0.110224,0.942264,0.2,1
210,True,0.998027,0.830331,0.44264,1,-0.02106,0.518619,0.524492,0.456631,0.039877,0.053535,0.112974,0.94243,0.2,1
211,True,1,0.83,0.442396,1,-0.026007,0.522095,0.512196,0.454541,0.040806,0.054805,0.113441,0.942584,0.0,1
212,True,1,0.83,0.442074,1,-0.023397,0.52545,0.517222,0.441473,0.043538,0.058313,0.121053,0.94282,0.0,1
213,True,1,0.83,0.441675,1,-0.021499,0.53567,0.515728,0.442904,0.046833,0.061741,0.125972,0.943127,0.0,1
214,True,0.999272,0.830123,0.441314,1,-0.027413,0.525844,0.516523,0.464548,0.045759,0.061026,0.121568,0.943373,0.0,1
215,True,1,0.83,0.44088,1,-0.027367,0.51736,0.529773,0.437423,0.048604,0.064542,0.129229,0.943682,0.0,1
216,True,1,0.83,0.440386,1,-0.022992,0.530446,0.518731,0.437907,0.05096,0.067642,0.135712,0.944068,0.0,1
217,True,1,0.83,0.439819,1,-0.02223,0.531522,0.525865,0.432842,0.053629,0.071591,0.145779,0.944524,0.0,1
218,True,1,0.83,0.439287,1,-0.024884,0.528605,0.535441,0.46215,0.05277,0.071351,0.143205,0.944943,0.0,1
219,True,1,0.83,0.438794,1,-0.0209,0.535971,0.516419,0.460496,0.052329,0.070559,0.136934,0.945356,0.0,1
220,True,0.995661,0.830719,0.438225,1,-0.018018,0.543895,0.541644,0.44346,0.054962,0.074585,0.148821,0.945852,0.0,1
221,True,0.999686,0.830053,0.437632,1,-0.021929,0.537035,0.532465,0.44508,0.056103,0.076697,0.154011,0.94635,0.0,1
222,True,1,0.83,0.437078,1,-0.019096,0.54835,0.528521,0.466714,0.055801,0.076,0.147931,0.946833,0.0,1
223,True,1,0.83,0.436502,1,-0.021733,0.535063,0.532469,0.44338,0.056759,0.078014,0.153981,0.947323,0.0,1
224,True,1,0.83,0.435948,1,-0.024544,0.538587,0.524463,0.453218,0.056787,0.078055,0.151683,0.947781,0.0,1
225,True,1,0.83,0.435387,1,-0.026843,0.545564,0.527264,0.450898,0.057925,0.0791,0.151893,0.94823,0.0,1
226,True,0.992945,0.83115,0.43483,1,-0.025691,0.537775,0.551154,0.459825,0.058458,0.079875,0.152694,0.948685,0.0,1
227,True,0.997377,0.830439,0.434342,1,-0.02819,0.541329,0.537879,0.470849,0.056393,0.078318,0.148967,0.949078,0.0,1
228,True,1,0.83,0.433844,1,-0.027672,0.53841,0.542918,0.452573,0.057084,0.079687,0.153509,0.949488,0.0,1
229,True,1,0.83,0.433366,1,-0.022022,0.547871,0.54267,0.46468,0.056792,0.079813,0.154003,0.94992,0.0,1
230,True,0.999605,0.830067,0.432997,1,-0.018919,0.547291,0.547604,0.491337,0.053321,0.076495,0.145584,0.950289,0.2,1
231,True,0.998873,0.83019,0.43259,1,-0.020499,0.546044,0.538546,0.450775,0.055156,0.078598,0.151575,0.950678,0.2,1
232,True,0.997868,0.830358,0.432272,1,-0.017562,0.547519,0.53634,0.484286,0.052816,0.075665,0.142082,0.951012,0.2,1
233,True,1,0.83,0.432022,1,-0.017162,0.547386,0.535383,0.48213,0.05114,0.073367,0.134967,0.951291,0.2,1
234,True,1,0.83,0.431846,1,-0.019562,0.537729,0.545955,0.486639,0.049052,0.070824,0.12841,0.951495,0.0,1
235,True,1,0.83,0.431783,1,-0.020272,0.540933,0.555563,0.508465,0.045875,0.066478,0.115715,0.9516,0.0,1
236,True,1,0.83,0.431747,1,-0.018638,0.543782,0.552283,0.488966,0.045215,0.065441,0.114498,0.951691,0.0,1
237,True,1,0.83,0.431736,1,-0.019362,0.542469,0.556001,0.491921,0.044766,0.064303,0.111818,0.951752,0.0,1
238,True,1,0.83,0.431813,1,-0.017882,0.541566,0.552153,0.507833,0.042027,0.060764,0.102947,0.951749,0.0,1
239,True,1,0.83,0.432006,1,-0.019131,0.534163,0.53955,0.509539,0.038063,0.056082,0.092207,0.951644,0.0,1
240,True,1,0.83,0.432246,1,-0.018584,0.544211,0.548556,0.506,0.036319,0.053884,0.08905,0.951503,0.0,1
241,True,1,0.83,0.432545,1,-0.019137,0.5427,0.557862,0.51771,0.034599,0.0509,0.081236,0.951303,0.0,1
242,True,1,0.83,0.43293,1,-0.01834,0.527443,0.554618,0.521693,0.032323,0.046481,0.067289,0.951027,0.0,1
243,True,1,0.83,0.433403,1,-0.020276,0.536995,0.552281,0.529213,0.029273,0.042134,0.056944,0.950662,0.0,1
244,True,1,0.83,0.433964,1,-0.018488,0.528537,0.552082,0.532365,0.026829,0.037347,0.045555,0.950225,0.0,1
245,True,0.999617,0.830065,0.434544,1,-0.014365,0.528899,0.542663,0.511389,0.025753,0.035533,0.043448,0.949792,0.0,1
246,True,0.998843,0.830195,0.435176,1,-0.013686,0.534907,0.543981,0.553663,0.023368,0.032549,0.038631,0.949318,0.0,1
247,True,1,0.83,0.435863,1,-0.016161,0.52919,0.544681,0.545202,0.021083,0.02915,0.031114,0.948778,0.0,1
248,True,1,0.83,0.436559,1,-0.015431,0.526699,0.547948,0.55338,0.02049,0.027317,0.027064,0.948224,0.0,1
