cycle,use_mercury,stability,adaptive_score,rigidity,dissent,identity_drift,light_power,shadow_power,mercury_power,bridge_tension,mercury_motion,alliance_shift,emergence,jester_pulse,judge_closure
108,False,1,0.83,0.317378,0.251021,-0.004177,0.507052,0.564725,0.0,0.041027,0.0,0.0,0.979026,0.0,1
109,False,1,0.83,0.317844,0.250987,-0.00427,0.531254,0.547663,0.0,0.03758,0.0,0.0,0.979065,0.0,1
110,False,1,0.83,0.318291,0.250945,-0.000603,0.526912,0.558109,0.0,0.036687,0.0,0.0,0.979103,0.0,1
111,False,1,0.83,0.318719,0.250887,7.6e-05,0.534531,0.558778,0.0,0.034945,0.0,0.0,0.979139,0.0,1
112,False,1,0.83,0.319131,0.2508,-9.3e-05,0.533964,0.546257,0.0,0.031774,0.0,0.0,0.979173,0.0,1
113,False,1,0.83,0.319526,0.250674,-0.003663,0.534775,0.532475,0.0,0.027647,0.0,0.0,0.979206,0.0,1
114,False,1,0.83,0.319904,0.250553,-0.006177,0.52724,0.555473,0.0,0.027729,0.0,0.0,0.979238,0.0,1
115,False,1,0.83,0.320268,0.250417,-0.006031,0.530231,0.544781,0.0,0.025884,0.0,0.0,0.979268,0.2,1
116,False,1,0.83,0.320616,0.250271,-0.006875,0.530154,0.54679,0.0,0.024589,0.0,0.0,0.979298,0.2,1
117,False,1,0.83,0.320951,0.250115,-0.006175,0.533642,0.547968,0.0,0.023153,0.0,0.0,0.979326,0.2,1
118,False,1,0.83,0.321272,0.249957,-0.005107,0.535819,0.554541,0.0,0.022532,0.0,0.0,0.979353,0.2,1
119,False,1,0.83,0.32158,0.249782,-0.007298,0.543455,0.551162,0.0,0.020457,0.0,0.0,0.979379,0.0,1
120,False,1,0.83,0.321876,0.24959,-0.005908,0.537008,0.54148,0.0,0.018219,0.0,0.0,0.979403,0.0,1
121,False,1,0.83,0.322159,0.24939,-0.007185,0.539675,0.548127,0.0,0.016851,0.0,0.0,0.979427,0.0,1
122,False,1,0.83,0.322431,0.249175,-0.004443,0.549897,0.547438,0.0,0.014836,0.0,0.0,0.97945,0.0,1
123,False,1,0.83,0.322693,0.248954,-0.007494,0.538733,0.531745,0.0,0.013738,0.0,0.0,0.979472,0.0,1
124,False,1,0.83,0.322943,0.248721,-0.004313,0.539453,0.539014,0.0,0.011876,0.0,0.0,0.979493,0.0,1
125,False,1,0.83,0.323183,0.248504,-0.006106,0.545585,0.52672,0.0,0.012854,0.0,0.0,0.979514,0.0,1
126,False,1,0.83,0.323414,0.248278,-0.0035,0.543624,0.546422,0.0,0.011446,0.0,0.0,0.979533,0.0,1
127,False,1,0.83,0.323635,0.248049,-0.000954,0.54211,0.536931,0.0,0.010569,0.0,0.0,0.979552,0.0,1
128,False,1,0.83,0.323848,0.24783,-0.002204,0.546236,0.532565,0.0,0.011003,0.0,0.0,0.97957,0.0,1
129,False,1,0.83,0.324052,0.247616,-0.000142,0.539581,0.52903,0.0,0.01094,0.0,0.0,0.979587,0.0,1
130,False,1,0.83,0.324247,0.247406,0.000363,0.54768,0.537199,0.0,0.010876,0.0,0.0,0.979603,0.0,1
131,False,1,0.83,0.324435,0.247199,0.004136,0.545809,0.537259,0.0,0.01055,0.0,0.0,0.979619,0.0,1
132,False,1,0.83,0.324615,0.246991,0.003429,0.544261,0.538123,0.0,0.009932,0.0,0.0,0.979634,0.0,1
133,False,1,0.83,0.324787,0.246789,0.001181,0.536264,0.525661,0.0,0.010026,0.0,0.0,0.979649,0.0,1
134,False,1,0.83,0.324953,0.2466,0.002041,0.53825,0.522523,0.0,0.010824,0.0,0.0,0.979663,0.0,1
135,False,1,0.83,0.325112,0.246444,-0.002187,0.545346,0.513105,0.0,0.013823,0.0,0.0,0.979677,0.0,1
136,False,1,0.83,0.325265,0.246288,-0.004356,0.537724,0.527612,0.0,0.013303,0.0,0.0,0.97969,0.0,1
137,False,1,0.83,0.325411,0.246138,-0.004491,0.538322,0.523585,0.0,0.013504,0.0,0.0,0.979702,0.0,1
138,False,1,0.83,0.325552,0.245993,-0.000477,0.539406,0.523981,0.0,0.013773,0.0,0.0,0.979714,0.2,1
139,False,1,0.83,0.325686,0.245871,-0.000203,0.53691,0.509627,0.0,0.015664,0.0,0.0,0.979725,0.2,1
140,False,1,0.83,0.325816,0.245744,0.00107,0.527189,0.517347,0.0,0.014849,0.0,0.0,0.979736,0.2,1
141,False,1,0.83,0.32594,0.245634,0.002602,0.534918,0.510303,0.0,0.016216,0.0,0.0,0.979747,0.2,1
142,False,1,0.83,0.326059,0.245507,0.001301,0.523394,0.521287,0.0,0.014241,0.0,0.0,0.979757,0.0,1
143,False,1,0.83,0.326173,0.245402,0.004812,0.535977,0.50809,0.0,0.016151,0.0,0.0,0.979767,0.0,1
144,False,1,0.83,0.326283,0.245322,0.005258,0.529871,0.497044,0.0,0.018486,0.0,0.0,0.979776,0.0,1
145,False,1,0.83,0.326388,0.245261,0.009411,0.535055,0.50383,0.0,0.020269,0.0,0.0,0.979785,0.0,1
146,False,1,0.83,0.326489,0.245222,0.006311,0.536838,0.502327,0.0,0.022263,0.0,0.0,0.979794,0.0,1
147,False,1,0.83,0.326586,0.245206,0.007832,0.527835,0.488693,0.0,0.024626,0.0,0.0,0.979802,0.0,1
148,False,1,0.83,0.326679,0.245187,0.008771,0.517035,0.495433,0.0,0.024203,0.0,0.0,0.97981,0.0,1
149,False,1,0.83,0.326768,0.245162,0.008572,0.515973,0.496348,0.0,0.023562,0.0,0.0,0.979817,0.0,1
150,False,1,0.83,0.326853,0.245144,0.008173,0.523165,0.49502,0.0,0.024204,0.0,0.0,0.979825,0.0,1
151,False,1,0.83,0.326935,0.245116,0.007131,0.51816,0.50185,0.0,0.023099,0.0,0.0,0.979832,0.0,1
152,False,1,0.83,0.327014,0.245073,0.007849,0.51038,0.498148,0.0,0.021577,0.0,0.0,0.979838,0.0,1
153,False,1,0.83,0.32709,0.245041,0.00303,0.514087,0.485911,0.0,0.022501,0.0,0.0,0.979845,0.0,1
154,False,1,0.83,0.327162,0.24501,0.007335,0.517026,0.493905,0.0,0.022588,0.0,0.0,0.979851,0.0,1
155,False,1,0.83,0.327232,0.245003,0.008262,0.515973,0.476271,0.0,0.024984,0.0,0.0,0.979857,0.0,1
156,False,1,0.83,0.327299,0.245002,0.007636,0.509385,0.480386,0.0,0.025546,0.0,0.0,0.979863,0.0,1
157,False,1,0.83,0.327363,0.245,0.00979,0.512682,0.487911,0.0,0.025438,0.0,0.0,0.979868,0.0,1
158,False,1,0.83,0.327424,0.244974,0.008926,0.496963,0.489451,0.0,0.022928,0.0,0.0,0.979874,0.0,1
159,False,1,0.83,0.327483,0.244944,0.009281,0.503251,0.483557,0.0,0.022475,0.0,0.0,0.979879,0.0,1
