cycle,use_mercury,stability,adaptive_score,rigidity,dissent,identity_drift,light_power,shadow_power,mercury_power,bridge_tension,mercury_motion,alliance_shift,emergence,jester_pulse,judge_closure
40,True,1,0.83,0.358467,0.706565,0.01623,0.534756,0.475959,0.461845,0.046032,0.028617,0.012404,0.921841,0.0,0
41,True,1,0.83,0.357936,0.719798,0.017003,0.53378,0.469144,0.454605,0.047247,0.031171,0.015738,0.922298,0.0,0
42,True,1,0.83,0.357377,0.733252,0.016809,0.525146,0.457587,0.444499,0.04842,0.033369,0.017826,0.922784,0.0,0
43,True,1,0.83,0.356768,0.746992,0.016648,0.530676,0.481019,0.44765,0.049668,0.036845,0.027608,0.923323,0.0,0
44,True,1,0.83,0.356127,0.760976,0.016571,0.524937,0.465915,0.440038,0.050915,0.039441,0.032438,0.923896,0.0,0
45,True,1,0.83,0.35549,0.775071,0.016752,0.532957,0.464004,0.452215,0.05144,0.040396,0.030666,0.924467,0.0,0
46,True,1,0.83,0.354924,0.788928,0.0121,0.510715,0.467112,0.456246,0.048717,0.039314,0.028879,0.925025,0.2,0
47,True,1,0.83,0.354397,0.802713,0.010264,0.518725,0.459726,0.453521,0.047772,0.038809,0.025585,0.925563,0.2,0
48,True,1,0.83,0.353812,0.816884,0.012354,0.529576,0.461518,0.434685,0.05056,0.041896,0.031201,0.926132,0.2,0
49,True,1,0.83,0.353323,0.830668,0.009466,0.502181,0.476194,0.460967,0.046405,0.039982,0.031052,0.926661,0.2,0
50,True,1,0.83,0.352882,0.844318,0.009558,0.513247,0.469868,0.456926,0.044811,0.039233,0.030018,0.927155,0.0,0
51,True,0.999313,0.830116,0.352488,0.857825,0.010387,0.512778,0.475673,0.460012,0.043077,0.03853,0.030279,0.927613,0.0,0
52,True,1,0.83,0.352107,0.87133,0.010313,0.511569,0.476157,0.452076,0.042462,0.038986,0.033855,0.928064,0.0,0
53,True,1,0.83,0.351726,0.884893,0.010557,0.50309,0.47059,0.44085,0.042288,0.039966,0.03898,0.928518,0.0,0
54,True,1,0.83,0.351461,0.89799,0.010309,0.495646,0.469177,0.467304,0.038077,0.036486,0.031933,0.928887,0.0,0
55,True,1,0.83,0.351211,0.911063,0.008814,0.503082,0.474432,0.451594,0.037402,0.036581,0.034682,0.929255,0.0,0
56,True,1,0.83,0.351116,0.923447,0.011183,0.482128,0.477997,0.478367,0.031165,0.031697,0.027746,0.929498,0.0,0
57,True,1,0.83,0.351041,0.935741,0.007299,0.496414,0.48675,0.461119,0.029791,0.031524,0.032449,0.929752,0.0,0
58,True,1,0.83,0.351034,0.947742,0.004568,0.496862,0.482649,0.474605,0.027099,0.029232,0.029177,0.929968,0.0,0
59,True,1,0.83,0.351044,0.959691,0.002512,0.49539,0.473595,0.45976,0.026497,0.028602,0.028876,0.930176,0.0,0
60,True,1,0.83,0.351157,0.971158,-0.000593,0.492251,0.492564,0.495613,0.022131,0.025047,0.02432,0.930317,0.0,0
61,True,1,0.83,0.355275,0.982579,0.001369,0.489904,0.494147,0.467916,0.021295,0.024915,0.028251,0.930446,0.0,1
62,True,1,0.83,0.359308,0.993659,-0.000378,0.483431,0.490668,0.482984,0.018384,0.021997,0.02278,0.930518,0.0,1
63,True,1,0.83,0.363233,1,0.000692,0.47642,0.501423,0.489791,0.018076,0.019039,0.018224,0.930527,0.0,1
64,True,1,0.83,0.367004,1,0.005403,0.471933,0.502007,0.502859,0.018533,0.018598,0.01492,0.930498,0.0,1
65,True,1,0.83,0.370638,1,0.003099,0.470916,0.490749,0.495555,0.018154,0.018055,0.013858,0.930473,0.0,1
66,True,1,0.83,0.374118,1,0.004828,0.488675,0.488655,0.512075,0.017696,0.018805,0.020447,0.930454,0.0,1
67,True,1,0.83,0.377418,1,0.006092,0.473033,0.504092,0.516129,0.019683,0.020031,0.021172,0.930452,0.0,1
68,True,1,0.83,0.380549,1,0.003745,0.482198,0.493054,0.519321,0.020594,0.021664,0.027444,0.930497,0.0,1
69,True,1,0.83,0.383541,1,0.003707,0.490788,0.49871,0.522151,0.020651,0.022468,0.031332,0.930557,0.2,1
70,True,1,0.83,0.386311,1,0.006361,0.482335,0.496916,0.540859,0.023957,0.026495,0.042642,0.930679,0.2,1
71,True,1,0.83,0.388904,1,0.005061,0.488461,0.495339,0.538935,0.025701,0.02937,0.051552,0.930862,0.2,1
72,True,1,0.83,0.391339,1,0.005232,0.477703,0.491032,0.529862,0.027334,0.031628,0.056774,0.931083,0.2,1
73,True,1,0.83,0.393617,1,0.00399,0.47562,0.504335,0.536819,0.029758,0.033758,0.058412,0.931346,0.0,1
74,True,1,0.83,0.395748,1,0.006979,0.466999,0.511873,0.534852,0.032544,0.03539,0.055922,0.931615,0.0,1
75,True,1,0.83,0.397757,1,0.007893,0.474032,0.516418,0.53844,0.034415,0.036485,0.053546,0.931891,0.0,1
76,True,1,0.83,0.399611,1,0.010252,0.473625,0.514574,0.550045,0.037391,0.03921,0.057025,0.932197,0.0,1
77,True,1,0.83,0.401268,1,0.013404,0.473543,0.508728,0.564269,0.041547,0.043959,0.067836,0.932569,0.0,1
78,True,1,0.83,0.402879,1,0.010723,0.473978,0.520665,0.533798,0.041247,0.042911,0.059522,0.932923,0.0,1
79,True,1,0.83,0.404347,1,0.004669,0.478924,0.526094,0.566236,0.0443,0.045826,0.063675,0.933359,0.0,1
80,True,1,0.83,0.405699,1,0.004752,0.484154,0.525832,0.56683,0.046247,0.048067,0.067339,0.933825,0.0,1
81,True,1,0.83,0.406984,1,0.003152,0.474097,0.522705,0.548864,0.046895,0.048403,0.064335,0.93429,0.0,1
82,True,1,0.83,0.408221,1,0.002134,0.46519,0.521593,0.538897,0.047299,0.047997,0.05839,0.934737,0.0,1
83,True,0.998799,0.830203,0.409353,1,-0.000889,0.469359,0.538508,0.563998,0.050141,0.049686,0.056908,0.935209,0.0,1
84,True,1,0.83,0.410421,1,-0.001837,0.483127,0.529464,0.561577,0.05053,0.05047,0.058371,0.935676,0.0,1
85,True,1,0.83,0.411388,1,0.002457,0.482713,0.536617,0.576228,0.052656,0.052723,0.062541,0.936167,0.0,1
86,True,1,0.83,0.41236,1,-0.003139,0.494635,0.526838,0.554484,0.05036,0.051466,0.061092,0.936611,0.0,1
87,True,1,0.83,0.413216,1,-0.003913,0.472021,0.511471,0.566041,0.052578,0.054662,0.070701,0.9371,0.0,1
88,True,1,0.83,0.414037,1,0.000637,0.479597,0.536186,0.561456,0.052937,0.054509,0.066669,0.937587,0.0,1
89,True,1,0.83,0.414901,1,-0.002211,0.491736,0.543995,0.550789,0.050495,0.051487,0.056053,0.937988,0.0,1
90,True,1,0.83,0.415766,1,-0.000206,0.48241,0.535717,0.549829,0.049496,0.049986,0.050487,0.938357,0.0,1
91,True,0.997045,0.830494,0.416665,1,0.002298,0.475947,0.538992,0.534514,0.048152,0.046774,0.04039,0.938636,0.0,1
92,True,0.997181,0.830471,0.417627,1,0.002331,0.493394,0.535333,0.534454,0.044517,0.043038,0.032312,0.938831,0.2,1
93,True,1,0.83,0.418625,1,0.003195,0.485167,0.539757,0.531002,0.043055,0.039609,0.025849,0.938945,0.2,1
94,True,1,0.83,0.419671,1,0.002342,0.49291,0.543522,0.527504,0.041379,0.035364,0.020679,0.938975,0.2,1
95,True,1,0.83,0.42074,1,0.004569,0.496456,0.539038,0.535867,0.03904,0.032949,0.016544,0.938942,0.2,1
96,True,1,0.83,0.421849,1,0.00609,0.493064,0.540011,0.520757,0.037647,0.028927,0.013235,0.938821,0.0,1
97,True,1,0.83,0.422964,1,0.003672,0.495986,0.549829,0.513457,0.037332,0.026201,0.010588,0.938665,0.0,1
98,True,1,0.83,0.424005,1,0.001862,0.504296,0.554502,0.493315,0.037954,0.027584,0.012863,0.938552,0.0,1
99,True,1,0.83,0.42505,1,0.001691,0.492449,0.541474,0.504746,0.037006,0.025433,0.01029,0.938401,0.0,1
100,True,1,0.83,0.426024,1,-0.000636,0.505184,0.548847,0.490715,0.037321,0.026954,0.01402,0.938292,0.0,1
101,True,1,0.83,0.426989,1,0.001708,0.50485,0.557449,0.515265,0.036915,0.025404,0.011216,0.93815,0.0,1
102,True,1,0.83,0.42789,1,0.002229,0.509252,0.556736,0.498205,0.037294,0.026718,0.013392,0.938036,0.0,1
103,True,1,0.83,0.428735,1,0.000996,0.506351,0.537018,0.484831,0.036843,0.028137,0.019321,0.937961,0.0,1
104,True,1,0.83,0.429539,1,0.001602,0.509812,0.552485,0.499242,0.036601,0.028665,0.019685,0.937896,0.0,1
105,True,1,0.83,0.430302,1,0.001064,0.51539,0.55775,0.503966,0.036467,0.029216,0.020318,0.937848,0.0,1
106,True,1,0.83,0.430931,1,-0.002228,0.525556,0.54765,0.473673,0.03878,0.033936,0.037007,0.937889,0.0,1
107,True,1,0.83,0.431467,1,-0.002724,0.512193,0.53852,0.46877,0.040169,0.037107,0.046975,0.937988,0.0,1
108,True,1,0.83,0.431851,1,-0.007863,0.518043,0.553331,0.460102,0.044126,0.042494,0.060757,0.938161,0.0,1
109,True,1,0.83,0.432094,1,-0.007621,0.518608,0.55722,0.459026,0.047967,0.047589,0.072438,0.938432,0.0,1
110,True,1,0.83,0.432235,1,-0.007589,0.52882,0.549186,0.461018,0.049913,0.051845,0.085071,0.938778,0.0,1
111,True,1,0.83,0.43227,1,-0.009434,0.537522,0.553067,0.460433,0.052045,0.056467,0.098893,0.939193,0.0,1
112,True,1,0.83,0.432286,1,-0.007736,0.529044,0.537806,0.466417,0.051243,0.057943,0.104165,0.939634,0.0,1
113,True,1,0.83,0.432255,1,-0.005834,0.529283,0.548191,0.464617,0.052048,0.060208,0.109198,0.940116,0.0,1
114,True,0.997376,0.830439,0.432161,1,-0.004261,0.542118,0.544391,0.459956,0.052812,0.06344,0.120223,0.940655,0.0,1
115,True,1,0.83,0.431974,1,-0.007386,0.543227,0.547939,0.450545,0.054993,0.067864,0.133252,0.941245,0.2,1
116,True,1,0.83,0.43171,1,-0.002079,0.533074,0.554171,0.450765,0.057503,0.071363,0.139525,0.941916,0.2,1
117,True,0.995801,0.830696,0.431328,1,-0.002458,0.545867,0.54718,0.434545,0.060669,0.077049,0.156149,0.942676,0.2,1
118,True,0.998731,0.830214,0.430938,1,-0.005313,0.528121,0.551002,0.455371,0.061224,0.078049,0.154019,0.943411,0.2,1
119,True,0.999433,0.830096,0.430467,1,-0.005229,0.541905,0.548694,0.436651,0.063649,0.082333,0.165317,0.944207,0.0,1
120,True,1,0.83,0.429972,1,-0.005487,0.537943,0.548237,0.446237,0.064432,0.084366,0.168936,0.945014,0.0,1
121,True,1,0.83,0.429427,1,-0.006043,0.541892,0.551923,0.440751,0.066175,0.087416,0.175605,0.945851,0.0,1
122,True,0.997817,0.830366,0.428791,1,-0.005566,0.548049,0.544459,0.423861,0.069166,0.092313,0.188723,0.946759,0.0,1
123,True,0.997302,0.830451,0.428238,1,-0.00319,0.530054,0.538005,0.455568,0.066609,0.090374,0.180773,0.947611,0.0,1
124,True,1,0.83,0.427629,1,-0.001874,0.542945,0.547611,0.430486,0.068674,0.093792,0.189602,0.948509,0.0,1
125,True,0.999802,0.830034,0.427039,1,-0.003991,0.54666,0.533578,0.444075,0.068623,0.094108,0.187483,0.949369,0.0,1
126,True,1,0.83,0.426458,1,-0.006488,0.548311,0.543894,0.445994,0.068549,0.094948,0.189146,0.950201,0.0,1
127,True,1,0.83,0.42595,1,-0.005319,0.542872,0.526595,0.453657,0.066916,0.093006,0.180492,0.950972,0.0,1
128,True,1,0.83,0.425502,1,-0.007895,0.54499,0.535994,0.457494,0.06537,0.091605,0.175793,0.951673,0.0,1
129,True,0.998887,0.830188,0.425062,1,-0.009535,0.552756,0.530797,0.44899,0.066056,0.09177,0.173358,0.952343,0.0,1
130,True,1,0.83,0.42468,1,-0.011999,0.550378,0.526893,0.459559,0.065064,0.089993,0.16562,0.952939,0.0,1
131,True,0.999147,0.830144,0.424396,1,-0.011046,0.550034,0.52187,0.471266,0.062805,0.08645,0.152737,0.953448,0.0,1
132,True,0.997833,0.830364,0.424117,1,-0.007859,0.543411,0.535298,0.450125,0.062694,0.086839,0.156259,0.953967,0.0,1
133,True,0.998175,0.830307,0.423905,1,-0.007642,0.542151,0.520538,0.460953,0.061153,0.084537,0.148841,0.954423,0.0,1
134,True,1,0.83,0.423764,1,-0.006586,0.536381,0.527306,0.464122,0.058817,0.082182,0.144347,0.954823,0.0,1
135,True,1,0.83,0.423726,1,-0.009733,0.538107,0.504484,0.469978,0.056405,0.077861,0.12928,0.955103,0.0,1
136,True,1,0.83,0.423758,1,-0.015432,0.539746,0.531891,0.476074,0.053893,0.075325,0.125751,0.955288,0.0,1
137,True,1,0.83,0.423832,1,-0.018499,0.53795,0.528131,0.46965,0.052388,0.073654,0.123993,0.955415,0.0,1
138,True,1,0.83,0.423959,1,-0.015442,0.540239,0.529216,0.476829,0.050567,0.071448,0.120149,0.955512,0.2,1
139,True,1,0.83,0.424187,1,-0.016137,0.528916,0.517129,0.481884,0.047109,0.067205,0.110217,0.955516,0.2,1
140,True,1,0.83,0.424467,1,-0.013335,0.538486,0.50791,0.476807,0.046031,0.064291,0.100615,0.955479,0.2,1
141,True,0.998976,0.830173,0.424799,1,-0.013147,0.53363,0.498439,0.473645,0.044944,0.061225,0.09041,0.955383,0.2,1
142,True,1,0.83,0.425179,1,-0.013307,0.544006,0.520047,0.489961,0.043339,0.058543,0.084362,0.955235,0.0,1
143,True,1,0.83,0.425728,1,-0.011713,0.531927,0.513574,0.517774,0.03774,0.051043,0.06749,0.954953,0.0,1
144,True,1,0.83,0.426287,1,-0.014579,0.536698,0.512924,0.484974,0.037154,0.049474,0.065172,0.954631,0.0,1
145,True,1,0.83,0.42692,1,-0.018444,0.529002,0.501135,0.49513,0.034531,0.045339,0.054539,0.954215,0.0,1
146,True,1,0.83,0.427603,1,-0.013621,0.534665,0.498399,0.49569,0.032992,0.04191,0.044715,0.953774,0.0,1
147,True,1,0.83,0.428366,1,-0.017615,0.522334,0.5112,0.52911,0.029203,0.03777,0.038483,0.953242,0.0,1
148,True,1,0.83,0.429184,1,-0.01697,0.523373,0.49584,0.519457,0.02725,0.033862,0.030786,0.952654,0.0,1
149,True,1,0.83,0.430016,1,-0.018974,0.524425,0.482071,0.51731,0.027428,0.03109,0.024629,0.952019,0.0,1
150,True,1,0.83,0.430917,1,-0.019361,0.515294,0.506545,0.515259,0.023541,0.027345,0.019703,0.951329,0.0,1
151,True,1,0.83,0.431807,1,-0.017723,0.502839,0.495177,0.520579,0.022352,0.026536,0.022858,0.950657,0.0,1
152,True,1,0.83,0.432666,1,-0.016566,0.508797,0.49466,0.527107,0.022222,0.026374,0.025611,0.950012,0.0,1
153,True,1,0.83,0.43349,1,-0.020693,0.513709,0.489834,0.526646,0.022639,0.026164,0.025663,0.94936,0.0,1
154,True,1,0.83,0.434219,1,-0.021054,0.503485,0.483004,0.535865,0.024908,0.028468,0.033483,0.948776,0.0,1
155,True,1,0.83,0.434883,1,-0.027135,0.520653,0.481511,0.5362,0.026987,0.029399,0.033005,0.948194,0.0,1
156,True,0.999708,0.83005,0.435482,1,-0.031679,0.50474,0.485092,0.535762,0.02821,0.031002,0.038813,0.947637,0.0,1
157,True,1,0.83,0.435954,1,-0.03601,0.497409,0.473213,0.544565,0.031694,0.034957,0.049913,0.947152,0.0,1
158,True,1,0.83,0.436422,1,-0.031801,0.510336,0.487813,0.530258,0.031083,0.034429,0.047899,0.9467,0.0,1
159,True,1,0.83,0.436785,1,-0.030583,0.49245,0.484091,0.549818,0.033375,0.038225,0.061266,0.946346,0.0,1
160,True,1,0.83,0.436995,1,-0.031531,0.488583,0.47459,0.55984,0.037597,0.043829,0.077516,0.946111,0.0,1
161,True,1,0.83,0.437194,1,-0.031608,0.504568,0.486957,0.541487,0.037374,0.044095,0.07678,0.94589,0.2,1
162,True,1,0.83,0.437292,1,-0.028463,0.493824,0.480904,0.559663,0.040097,0.048043,0.08776,0.945774,0.2,1
163,True,1,0.83,0.437312,1,-0.02796,0.494818,0.479508,0.557141,0.042196,0.051114,0.095138,0.945726,0.2,1
164,True,0.998321,0.830283,0.437251,1,-0.031622,0.482706,0.486276,0.561338,0.044037,0.054717,0.106135,0.94573,0.2,1
165,True,1,0.83,0.437117,1,-0.028596,0.484779,0.472256,0.555898,0.046147,0.05789,0.113355,0.945816,0.0,1
166,True,1,0.83,0.436919,1,-0.02497,0.489715,0.464213,0.554213,0.048641,0.0606,0.116484,0.945974,0.0,1
167,True,1,0.83,0.436685,1,-0.024044,0.493365,0.479202,0.560448,0.049635,0.062499,0.12002,0.946171,0.0,1
168,True,1,0.83,0.436455,1,-0.0209,0.478594,0.466667,0.538874,0.049365,0.063023,0.120128,0.94639,0.0,1
169,True,1,0.83,0.436192,1,-0.019937,0.484003,0.469243,0.552424,0.050461,0.064812,0.123471,0.946643,0.0,1
170,True,1,0.83,0.435932,1,-0.020477,0.477484,0.464992,0.539977,0.050376,0.065362,0.123774,0.946895,0.0,1
171,True,1,0.83,0.435679,1,-0.016182,0.482738,0.467334,0.54183,0.050248,0.065562,0.122656,0.947167,0.0,1
172,True,0.996793,0.830535,0.435363,1,-0.014373,0.484734,0.472095,0.565731,0.05244,0.068608,0.130524,0.947502,0.0,1
173,True,0.995993,0.830665,0.435087,1,-0.012934,0.475555,0.470366,0.536366,0.050921,0.06788,0.128744,0.94782,0.0,1
174,True,1,0.83,0.434707,1,-0.008163,0.476702,0.461652,0.569408,0.054686,0.072409,0.140077,0.948245,0.0,1
175,True,0.994541,0.830898,0.434381,1,-0.009534,0.483836,0.473421,0.54159,0.053023,0.071086,0.135164,0.948621,0.0,1
176,True,0.996534,0.830577,0.434044,1,-0.007874,0.470664,0.463404,0.546669,0.05347,0.072283,0.138533,0.949018,0.0,1
177,True,0.992292,0.831251,0.433709,1,-0.007561,0.477284,0.47068,0.550829,0.053463,0.072922,0.140244,0.949415,0.0,1
